movieId,title,clean_title,year,genres,item_idx
1,Toy Story (1995),Toy Story,1995.0,Adventure|Animation|Children|Comedy|Fantasy,0
2,Jumanji (1995),Jumanji,1995.0,Adventure|Children|Fantasy,1
3,Grumpier Old Men (1995),Grumpier Old Men,1995.0,Comedy|Romance,2
4,Waiting to Exhale (1995),Waiting to Exhale,1995.0,Comedy|Drama|Romance,3
5,Father of the Bride Part II (1995),Father of the Bride Part II,1995.0,Comedy,4
6,Heat (1995),Heat,1995.0,Action|Crime|Thriller,5
7,Sabrina (1995),Sabrina,1995.0,Comedy|Romance,6
8,Tom and Huck (1995),Tom and Huck,1995.0,Adventure|Children,7
9,Sudden Death (1995),Sudden Death,1995.0,Action,8
10,GoldenEye (1995),GoldenEye,1995.0,Action|Adventure|Thriller,9
11,"American President, The (1995)","American President, The",1995.0,Comedy|Drama|Romance,10
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,1995.0,Comedy|Horror,11
13,Balto (1995),Balto,1995.0,Adventure|Animation|Children,12
14,Nixon (1995),Nixon,1995.0,Drama,13
15,Cutthroat Island (1995),Cutthroat Island,1995.0,Action|Adventure|Romance,14
16,Casino (1995),Casino,1995.0,Crime|Drama,15
17,Sense and Sensibility (1995),Sense and Sensibility,1995.0,Drama|Romance,16
18,Four Rooms (1995),Four Rooms,1995.0,Comedy,17
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995.0,Comedy,18
20,Money Train (1995),Money Train,1995.0,Action|Comedy|Crime|Drama|Thriller,19
21,Get Shorty (1995),Get Shorty,1995.0,Comedy|Crime|Thriller,20
22,Copycat (1995),Copycat,1995.0,Crime|Drama|Horror|Mystery|Thriller,21
23,Assassins (1995),Assassins,1995.0,Action|Crime|Thriller,22
24,Powder (1995),Powder,1995.0,Drama|Sci-Fi,23
25,Leaving Las Vegas (1995),Leaving Las Vegas,1995.0,Drama|Romance,24
26,Othello (1995),Othello,1995.0,Drama,25
27,Now and Then (1995),Now and Then,1995.0,Children|Drama,26
28,Persuasion (1995),Persuasion,1995.0,Drama|Romance,27
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","City of Lost Children, The (Cité des enfants perdus, La)",1995.0,Adventure|Drama|Fantasy|Mystery|Sci-Fi,28
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),1995.0,Crime|Drama,29
31,Dangerous Minds (1995),Dangerous Minds,1995.0,Drama,30
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Twelve Monkeys (a.k.a. 12 Monkeys),1995.0,Mystery|Sci-Fi|Thriller,31
33,Wings of Courage (1995),Wings of Courage,1995.0,Adventure|Romance|IMAX,32
34,Babe (1995),Babe,1995.0,Children|Drama,33
35,Carrington (1995),Carrington,1995.0,Drama|Romance,34
36,Dead Man Walking (1995),Dead Man Walking,1995.0,Crime|Drama,35
37,Across the Sea of Time (1995),Across the Sea of Time,1995.0,Documentary|IMAX,36
38,It Takes Two (1995),It Takes Two,1995.0,Children|Comedy,37
39,Clueless (1995),Clueless,1995.0,Comedy|Romance,38
40,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",1995.0,Drama,39
41,Richard III (1995),Richard III,1995.0,Drama|War,40
